paper,year,num_citations,tot_div_yr
Blanchard et al. 2017,2017,2,2
Blanchard et al. 2017,2018,18,9
Blanchard et al. 2017,2019,28,9.333333333
Blanchard et al. 2017,2020,41,10.25
Blanchard et al. 2017,2021,40,8
Blanchard et al. 2017,2022,51,8.5
Blanchard et al. 2017,2023,34,4.857142857
Blanchard et al. 2017,2024,3,0.375
Boyce et al. 2020,2020,4,4
Boyce et al. 2020,2021,18,9
Boyce et al. 2020,2022,22,7.333333333
Boyce et al. 2020,2023,11,2.75
Boyce et al. 2020,2024,1,0.2
Bryndum-Buchholz et al. 2019,2019,12,12
Bryndum-Buchholz et al. 2019,2020,30,15
Bryndum-Buchholz et al. 2019,2021,30,10
Bryndum-Buchholz et al. 2019,2022,45,11.25
Bryndum-Buchholz et al. 2019,2023,38,7.6
Bryndum-Buchholz et al. 2019,2024,6,1
Lotze et al. 2019,2019,19,19
Lotze et al. 2019,2020,79,39.5
Lotze et al. 2019,2021,116,38.66666667
Lotze et al. 2019,2022,122,30.5
Lotze et al. 2019,2023,90,18
Lotze et al. 2019,2024,17,2.833333333
Tittensor et al. 2018,2018,8,8
Tittensor et al. 2018,2019,17,8.5
Tittensor et al. 2018,2020,30,10
Tittensor et al. 2018,2021,32,8
Tittensor et al. 2018,2022,27,5.4
Tittensor et al. 2018,2023,16,2.666666667
Tittensor et al. 2018,2024,2,0.285714286
Tittensor et al. 2021,2021,2,2
Tittensor et al. 2021,2022,37,18.5
Tittensor et al. 2021,2023,57,19
Tittensor et al. 2021,2024,12,3